pair,query_id,bm25_count,top10_changed,bm25_in_top10,bm25_sample
4:gemma4_default_parser_bm25_on_run04.json,q11,1000,0,1,7441e00c-6689-5c9e-a382-e5289b0fe791;1e6bf7f0-d854-58cd-8b25-aeefdf0a6bdd;06476010-c9fe-58f7-9812-ee4917c1f1d0;09a68548-294f-5dfb-8329-b885fc54cb07;5f8556e8-8f97-5d31-9d39-0c1f039848ce
4:gemma4_default_parser_bm25_on_run04.json,q12,1000,0,1,30a8814c-b444-545d-b7d5-9a10624614b9;1ff49511-7057-5bef-bd14-6f86b66ec458;58c1897e-e6ab-50a8-bee8-d71ba9ff0935;f56877b1-3d99-530b-ac09-412c27a3917a;77470c27-6469-53bc-b2c4-dfb6cb425666
4:gemma4_default_parser_bm25_on_run04.json,q13,1000,0,1,4d243a68-c125-59d9-90e6-8e938cf17c0c;36421733-88ff-5caf-a174-8c6020adef39;9f0766e3-f6fc-57d1-af22-71421a3752a4;7bd66ca8-c172-5594-aea2-4cd156dfc66b;5c039d3d-8eb9-5960-abd0-0366d37eedf9
4:gemma4_default_parser_bm25_on_run04.json,q14,1000,0,1,95aa71cd-c0e7-55da-8177-43931a7fca57;c9940b87-3da6-595d-9948-8708a3e4d216;35864450-a70c-52fe-ab92-2ae7f9a12b10;89ba9bc7-f6ad-599e-992a-5942d16ac4bf;58f8ffc1-bc85-5301-b094-7edee05642f6
4:gemma4_default_parser_bm25_on_run04.json,q15,1000,0,1,f81d8654-47cb-5b70-81c3-5a838b2de2e8;76a36ca7-8b71-53b1-b19f-2d8263273fa2;0f105ae5-8390-5815-ad2b-c1ea3038e5fe;d5d4beb2-1f9f-5e7d-b70a-e0d93c8375bf;871b67db-5a52-5b48-9240-15c3fd26d800
4:gemma4_default_parser_bm25_on_run04.json,q16,1000,0,1,f7b9b9cc-f9b0-505e-bd14-834b485ebe71;39c8d774-aa3f-5195-a448-0f9ec27aeb8d;1d3268b0-9af6-5781-aede-0953ec438f63;30a8814c-b444-545d-b7d5-9a10624614b9;369fc93c-5f55-5a05-8c77-9ef9e6c35dd3
4:gemma4_default_parser_bm25_on_run04.json,q17,1000,0,1,5521cc23-94a9-5140-9400-ac2261040b42;d2051a19-1275-56ca-b3fc-5d040f73b02d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;9f0766e3-f6fc-57d1-af22-71421a3752a4;0cb47e2a-608c-5e87-99a9-b23dbe4e3673
4:gemma4_default_parser_bm25_on_run04.json,q18,1000,0,0,a44a04aa-52aa-55dd-b939-eafa7f3c4f37;c6be5111-3e99-5a4d-89e9-10b4b0d3d3eb;ef794942-f09e-56c0-bb71-f54e2a76f664;44225536-7c29-5446-99f9-8f3b017df376;1ee71eb5-3137-57b3-9aca-4ce069c1ac50
4:gemma4_default_parser_bm25_on_run04.json,q19,1000,0,1,3fd911fc-d689-5323-9b92-620716abad0f;266a110b-ef30-5605-a96c-740c9d1f8140;04a86ba5-918f-5977-8edc-15e3cbc121f7;60078bef-8306-5b35-8211-b39fbc5d2c71;385c6ff7-266c-5106-b8d4-9bc049588fcf
4:gemma4_default_parser_bm25_on_run04.json,q20,1000,0,0,72f9d2d9-6fa9-56a2-bef4-02c9574a16d2;19d435cd-2bfa-5464-8045-052cb8f11f22;98ed6667-528b-5f91-95a6-d43332f908e2;c7da5861-eceb-557a-89e2-a17ba3dfb9e5;0790cb4c-8fb4-527f-a2a2-2cd64ef4c985
4:gemma4_default_parser_bm25_on_run04.json,q21,1000,0,1,f2459e2b-5aa2-58c1-8279-c21574b758c8;255b1b2a-a923-5199-ac76-20757270f55d;23c98bbc-8e41-5ddd-bb53-66929c6802c5;7400d95e-3489-57ec-ae20-a6f240134c1e;6ccd2b9a-9429-5373-8b36-c2a154d6bf0d
4:gemma4_default_parser_bm25_on_run04.json,q22,1000,0,1,59f93d90-8ef1-5c7e-8fd7-f519554217d2;2fab755a-af40-5d53-92c3-62fe7122ab77;a29221ee-5427-5e33-9482-3e98e65ea174;913254f8-da65-588d-8682-8d0bc18b703f;916f1926-182c-5f51-963e-cb66a00f2ddd
4:gemma4_default_parser_bm25_on_run04.json,q23,1000,0,0,8bb81a74-5f80-5b8b-ab6b-fac982b80b02;97be4486-674b-5a08-8e07-12688a5a7924;255b1b2a-a923-5199-ac76-20757270f55d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;aa31493b-13a9-5bc0-a730-aa2d38c1361a
4:gemma4_default_parser_bm25_on_run04.json,q24,1000,0,1,ba77fe36-1174-5791-b4de-0d310ba4b323;5dd8a5af-5ad8-59ad-b4fe-15d538eb4c54;c3cb0f89-656f-50dc-9b18-7a21fe9a007a;5c8664f6-ac91-5fcb-81bb-9d8e2cbc496b;018708f8-df10-55b4-bd57-50c56de03650
5:gemma4_default_parser_bm25_on_run05.json,q1,1000,0,1,369fc93c-5f55-5a05-8c77-9ef9e6c35dd3;fe45e7b9-6caf-5d20-a1c6-af4846308910;e304a304-3756-5d0b-ad9f-8763f983c1d2;8bb81a74-5f80-5b8b-ab6b-fac982b80b02;c25181c1-229f-5fd7-ab54-0ea53337ebdd
5:gemma4_default_parser_bm25_on_run05.json,q2,1000,0,1,a5b69bfc-6420-5a59-ab75-79a1e19eeae6;dfaa6612-b1d3-582a-9d8a-340383833168;45af5443-be69-5794-87f8-899511921090;df10996c-3e56-5bb0-8a86-c0e189c6eb6c;fe974300-b9dd-5195-8275-fde930e1bbd3
5:gemma4_default_parser_bm25_on_run05.json,q3,1000,0,1,eca41fc1-173b-5283-bc2d-680af31a5509;3fd911fc-d689-5323-9b92-620716abad0f;ecf706e6-2f77-528c-82a6-647cbcc1a028;6c6ebe71-3c37-593a-9ebc-46ecc29a2cf3;3790ddbb-06c7-565b-a58f-0108e63e4945
5:gemma4_default_parser_bm25_on_run05.json,q4,1000,0,1,0cb47e2a-608c-5e87-99a9-b23dbe4e3673;36421733-88ff-5caf-a174-8c6020adef39;44ce9b45-a39e-5dce-9735-bf8786d11df1;97fd4d8e-813b-5309-b67b-a69749422714;8ba69e8f-4d47-5a26-b9de-099c9945c91a
5:gemma4_default_parser_bm25_on_run05.json,q5,1000,0,1,c3c7c307-fc1e-5547-aa2a-55437f958f37;f81d8654-47cb-5b70-81c3-5a838b2de2e8;5ee6f050-29e4-593e-b935-018f6cfb6a13;effebbec-2a18-5f73-8e41-f228f34dd286;364dc338-147f-5216-b3de-bc46fbf6ebf4
5:gemma4_default_parser_bm25_on_run05.json,q6,1000,0,1,13d79077-bfa6-53da-96fb-ad492f474b26;ce7cfd88-48cf-50b8-a4f5-dc5955a767ff;f7b9b9cc-f9b0-505e-bd14-834b485ebe71;30914beb-a2c8-5392-8ffa-f1649774e414;72f9d2d9-6fa9-56a2-bef4-02c9574a16d2
5:gemma4_default_parser_bm25_on_run05.json,q7,1000,0,1,6087eb9e-1cc9-51ec-9bd5-1c9a3925c350;0cb47e2a-608c-5e87-99a9-b23dbe4e3673;e74e635b-b46c-51c7-9ba1-9fbc405a6385;e2f00e11-a92d-5369-88ca-5befc1adc48f;13d79077-bfa6-53da-96fb-ad492f474b26
5:gemma4_default_parser_bm25_on_run05.json,q8,1000,0,1,923c0b09-8ee7-5081-8f88-2e44e05522b0;d7dec64a-35de-54cd-ba33-1619a8cb57df;7c0ac6b3-a0ae-53e8-8533-9621a96432e4;5e991241-bc29-5b5d-a586-a845239c40cd;6c6ebe71-3c37-593a-9ebc-46ecc29a2cf3
5:gemma4_default_parser_bm25_on_run05.json,q9,1000,0,1,73375f83-5666-580a-9488-d46de2998b86;57283f2a-3101-513d-8f43-078d063f255b;bbbab21e-ec5b-51c2-8680-dffb01145c79;4bd5c3a0-479b-5a0d-833b-899107ed7eda;7441e00c-6689-5c9e-a382-e5289b0fe791
5:gemma4_default_parser_bm25_on_run05.json,q10,1000,0,1,d3a45ca7-aeef-58be-a2ef-e3fc11ab75e4;79096e7d-7ccb-5bdb-a281-2fd8cd6fe457;025e4f27-aef2-52a7-8e31-a637f5e564ba;2f8e8e90-c731-52a9-bb44-6c65f089578f;744b959d-b503-5e4e-8f5c-6b923da2d4b2
5:gemma4_default_parser_bm25_on_run05.json,q11,1000,0,1,7441e00c-6689-5c9e-a382-e5289b0fe791;1e6bf7f0-d854-58cd-8b25-aeefdf0a6bdd;06476010-c9fe-58f7-9812-ee4917c1f1d0;09a68548-294f-5dfb-8329-b885fc54cb07;5f8556e8-8f97-5d31-9d39-0c1f039848ce
5:gemma4_default_parser_bm25_on_run05.json,q12,1000,0,1,30a8814c-b444-545d-b7d5-9a10624614b9;1ff49511-7057-5bef-bd14-6f86b66ec458;58c1897e-e6ab-50a8-bee8-d71ba9ff0935;f56877b1-3d99-530b-ac09-412c27a3917a;77470c27-6469-53bc-b2c4-dfb6cb425666
5:gemma4_default_parser_bm25_on_run05.json,q13,1000,0,1,4d243a68-c125-59d9-90e6-8e938cf17c0c;36421733-88ff-5caf-a174-8c6020adef39;9f0766e3-f6fc-57d1-af22-71421a3752a4;7bd66ca8-c172-5594-aea2-4cd156dfc66b;5c039d3d-8eb9-5960-abd0-0366d37eedf9
5:gemma4_default_parser_bm25_on_run05.json,q14,1000,0,1,95aa71cd-c0e7-55da-8177-43931a7fca57;c9940b87-3da6-595d-9948-8708a3e4d216;35864450-a70c-52fe-ab92-2ae7f9a12b10;89ba9bc7-f6ad-599e-992a-5942d16ac4bf;58f8ffc1-bc85-5301-b094-7edee05642f6
5:gemma4_default_parser_bm25_on_run05.json,q15,1000,0,1,f81d8654-47cb-5b70-81c3-5a838b2de2e8;76a36ca7-8b71-53b1-b19f-2d8263273fa2;0f105ae5-8390-5815-ad2b-c1ea3038e5fe;d5d4beb2-1f9f-5e7d-b70a-e0d93c8375bf;871b67db-5a52-5b48-9240-15c3fd26d800
5:gemma4_default_parser_bm25_on_run05.json,q16,1000,0,1,f7b9b9cc-f9b0-505e-bd14-834b485ebe71;39c8d774-aa3f-5195-a448-0f9ec27aeb8d;1d3268b0-9af6-5781-aede-0953ec438f63;30a8814c-b444-545d-b7d5-9a10624614b9;369fc93c-5f55-5a05-8c77-9ef9e6c35dd3
5:gemma4_default_parser_bm25_on_run05.json,q17,1000,0,1,5521cc23-94a9-5140-9400-ac2261040b42;d2051a19-1275-56ca-b3fc-5d040f73b02d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;9f0766e3-f6fc-57d1-af22-71421a3752a4;0cb47e2a-608c-5e87-99a9-b23dbe4e3673
5:gemma4_default_parser_bm25_on_run05.json,q18,1000,0,0,a44a04aa-52aa-55dd-b939-eafa7f3c4f37;c6be5111-3e99-5a4d-89e9-10b4b0d3d3eb;ef794942-f09e-56c0-bb71-f54e2a76f664;44225536-7c29-5446-99f9-8f3b017df376;1ee71eb5-3137-57b3-9aca-4ce069c1ac50
5:gemma4_default_parser_bm25_on_run05.json,q19,1000,0,1,3fd911fc-d689-5323-9b92-620716abad0f;266a110b-ef30-5605-a96c-740c9d1f8140;04a86ba5-918f-5977-8edc-15e3cbc121f7;60078bef-8306-5b35-8211-b39fbc5d2c71;385c6ff7-266c-5106-b8d4-9bc049588fcf
5:gemma4_default_parser_bm25_on_run05.json,q20,1000,0,0,72f9d2d9-6fa9-56a2-bef4-02c9574a16d2;19d435cd-2bfa-5464-8045-052cb8f11f22;98ed6667-528b-5f91-95a6-d43332f908e2;c7da5861-eceb-557a-89e2-a17ba3dfb9e5;0790cb4c-8fb4-527f-a2a2-2cd64ef4c985
5:gemma4_default_parser_bm25_on_run05.json,q21,1000,0,1,f2459e2b-5aa2-58c1-8279-c21574b758c8;255b1b2a-a923-5199-ac76-20757270f55d;23c98bbc-8e41-5ddd-bb53-66929c6802c5;7400d95e-3489-57ec-ae20-a6f240134c1e;6ccd2b9a-9429-5373-8b36-c2a154d6bf0d
5:gemma4_default_parser_bm25_on_run05.json,q22,1000,0,1,59f93d90-8ef1-5c7e-8fd7-f519554217d2;2fab755a-af40-5d53-92c3-62fe7122ab77;a29221ee-5427-5e33-9482-3e98e65ea174;913254f8-da65-588d-8682-8d0bc18b703f;916f1926-182c-5f51-963e-cb66a00f2ddd
5:gemma4_default_parser_bm25_on_run05.json,q23,1000,0,0,8bb81a74-5f80-5b8b-ab6b-fac982b80b02;97be4486-674b-5a08-8e07-12688a5a7924;255b1b2a-a923-5199-ac76-20757270f55d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;aa31493b-13a9-5bc0-a730-aa2d38c1361a
5:gemma4_default_parser_bm25_on_run05.json,q24,1000,0,1,ba77fe36-1174-5791-b4de-0d310ba4b323;5dd8a5af-5ad8-59ad-b4fe-15d538eb4c54;c3cb0f89-656f-50dc-9b18-7a21fe9a007a;5c8664f6-ac91-5fcb-81bb-9d8e2cbc496b;018708f8-df10-55b4-bd57-50c56de03650
